FID,OBJECTID,UID,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MUNICIPAL,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,CAF,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,LONGITUDE,LATITUDE,PREC_CODE,ATTRIBCODE,STATUS,IATA_CODE,ICAO_CODE,AER_TYPE,AER_STATUS,NAME_ALIAS,OWNER,X1,Y1,X2,Y2,X3,Y3,ELEVATION,ACCURACY,ACQ_TECH,Runway_Typ,x,y
1,204,704BF6A9-857A-40EC-B550-164F93E4275E,POI10501096,TOMMY KOCHON, , , ,COLVILLE LAKE,COLVILLE LAKE,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-126.126,67.02,3,1, ,YVL,CYVL,LAND,ACTIVE,TOMMY KOCHON AIRPORT,-1,0,0,0,0,0,0,269.998,25,5,Gravel,-126.1260261,67.02000541
2,418,7D937848-4CB6-46B2-9772-8E911CAECAC8,POI10501398,PAULATUK (NORA ALIQATCHIALUK RUBEN), , , ,PAULATUK,PAULATUK,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-124.07547,69.36083812,3,1, ,YPC,CYPC,LAND,ACTIVE,PAULATUK (NORA ALIQATCHIALUK RUBEN) AIRPORT,-1,0,0,0,0,0,0,0.002,25,5,Gravel,-124.0754984,69.36084383
3,677,CF67AEF8-9C3C-45DF-89FF-1956E053102A,POI10501511,RAE LAKES, , , ,GAMÈTI,GAMÈTÌ,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-117.3099976,64.1160965,3,1, ,YRA,CYRA,LAND,ACTIVE,RAE LAKES AIRPORT,-1,0,0,0,0,0,0,218.001,25,5,Gravel,-117.3100189,64.11610332
4,1102,A1FCE0D5-EA4A-40F4-8954-C9031DFDCFA5,POI2175753,AKLAVIK, , , ,AKLAVIK,AKLAVIK,NT, , ,867-873-7725,867-873-0297, , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-135.005833,68.223333,3,1, ,YKD,CYKD,LAND,ACTIVE,AKLAVIK AIRPORT,-1,0,0,0,0,0,0,6.001,25,5,Gravel,-135.005862,68.22333684
5,1225,A660ADD7-BDF4-44E8-A689-7EF096A5DD11,POI2176076,FORT LIARD, , , ,"FORT SMITH, UNORGANIZED",FORT LIARD,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-123.469778,60.236152,3,1, ,YJF,CYJF,LAND,ACTIVE,FORT LIARD AIRPORT,-1,0,0,0,0,0,0,216.001,25,5,Gravel,-123.469798,60.23615786
6,1227,E7C7983F-6945-421E-B05D-1A652EAED339,POI2176088,FORT RESOLUTION, , , ,FORT RESOLUTION,FORT RESOLUTION,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-113.688943,61.180248,3,1, ,YFR,CYFR,LAND,ACTIVE,FORT RESOLUTION AIRPORT,-1,0,0,0,0,0,0,158.995,25,5,Gravel,-113.6889614,61.18025528
7,1237,7A7ACC93-2D81-479E-8A95-A23EBEE08096,POI2176204,HOLMAN, , , ,HOLMAN,ULUKHAKTOK,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-117.800115,70.763925,3,1, ,YHI,CYHI,LAND,ACTIVE,HOLMAN AIRPORT,-1,0,0,0,0,0,0,32,25,5,Gravel,-117.8001437,70.76393172
8,1281,E1D48661-3282-4F8F-B816-D8121DE4F1D9,POI2176087,FORT PROVIDENCE, , , ,FORT PROVIDENCE,FORT PROVIDENCE,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-117.606004,61.31914,3,1, ,YJP,CYJP,LAND,ACTIVE,FORT PROVIDENCE AIRPORT,-1,0,0,0,0,0,0,154.01,25,5,Gravel,-117.6060234,61.31914673
9,1357,F57C1E59-36C2-4F2D-AF3D-92EB79433B67,POI2176191,HAY RIVER, , , ,HAY RIVER,HAY RIVER,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-115.78462,60.839649,3,1, ,YHY,CYHY,LAND,ACTIVE,HAY RIVER AIRPORT,-1,0,0,0,0,0,0,158.996,25,5,Paved,-115.7846387,60.83965598
10,1361,2E01F871-B1CF-47B9-A179-11A68AF1CF2F,POI2176233,INUVIK (MIKE ZUBKO), , , ,INUVIK,INUVIK,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-133.479892,68.305675,3,1, ,YEV,CYEV,LAND,ACTIVE,INUVIK (MIKE ZUBKO) AIRPORT,-1,0,0,0,0,0,0,71.009,25,5,Paved,-133.4799209,68.30567911
11,1396,20A1D5D7-4986-4165-B73A-F5BA961DE6C4,POI2176082,FORT MCPHERSON, , , ,FORT MCPHERSON,FORT MCPHERSON,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-134.859964,67.407797,3,1, ,ZFM,CZFM,LAND,ACTIVE,FORT MCPHERSON AIRPORT,-1,0,0,0,0,0,0,30,25,5,Gravel,-134.859992,67.4078009
12,1399,A884BEFB-7C57-45DC-B4EF-D9D84A8ACA2D,POI2176091,FORT SIMPSON, , , ,FORT SIMPSON,FORT SIMPSON,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-121.237001,61.760379,3,1, ,YFS,CYFS,LAND,ACTIVE,FORT SIMPSON AIRPORT,-1,0,0,0,0,0,0,171.001,25,5,Paved,-121.2370215,61.7603852
13,1400,905747A7-DAAC-42E4-80F1-F1C480855B74,POI2176093,FORT SMITH, , , ,FORT SMITH,FORT SMITH,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-111.961609,60.020313,3,1, ,YSM,CYSM,LAND,ACTIVE,FORT SMITH AIRPORT,-1,0,0,0,0,0,0,200.989,25,5,Paved,-111.9616263,60.02032047
14,1464,92176B4F-6080-4650-A3EE-4E633B8F93D1,POI2176497,NORMAN WELLS, , , ,NORMAN WELLS,NORMAN WELLS,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-126.799232,65.28225,3,1, ,YVQ,CYVQ,LAND,ACTIVE,NORMAN WELLS AIRPORT,-1,0,0,0,0,0,0,65.006,25,5,Paved,-126.7992564,65.28225532
15,1504,494BA276-3A99-41B3-966C-502717774573,POI2176371,LUTSELK'E, , , ,LUTSELK'E,LUTSELK'E,NT, , , , , , , ,45810000,45810300,0,0,0,0,0,0,0,0,0,45,E,-110.690292,62.412232,3,1, ,YLK,CYLK,LAND,ACTIVE,LUTSELK'E AIRPORT,-1,0,0,0,0,0,0,171.004,25,5,Gravel,-110.6903103,62.41223973
