FID,UID,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MUNICIPAL,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,CAF,EPOI_TYPE,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,LONGITUDE,LATITUDE,PREC_CODE,ATTRIBCODE,STATUS,COMM_NAME,GRP_IND,ELEVATION,ACCURACY,ACQ_TECH,x,y
1,53B7692B-8A44-415C-BEEF-DBBEB0DA0971,POI10000365,COMMUNITY AERODROME RADIO STATION (CARS), ,GENERAL DELIVERY, ,IGLOOLIK,IGLOOLIK,NU,X0A0L0, ,867-934-8947, , , , , ,45810000,00000000,00000000,00000000,00000000,00000000,48819,00000,00000,00000,00000,45,E,-81.824419,69.366849,8,2, , , ,51.671,-1,12,-81.8244190002366,69.3668489999814
2,97356D1F-2A15-42D9-A4C0-5A2EDE41C8DB,POI10001924,COMMUNITY AERODROME RADIO STATION (CARS), ,GENERAL DELIVERY, ,CHESTERFIELD INLET,CHESTERFIELD INLET,NU,X0C0B0, ,867-898-9940, , , , , ,45810000,00000000,00000000,00000000,00000000,00000000,48819,00000,00000,00000,00000,45,E,-90.736827,63.346514,8,2, , , ,9.006,-1,12,-90.7368269997662,63.3465139996214
3,75C6324A-581D-4A9C-8D39-2ECB935B5FE5,POI10004675,YUKON OUTFITTERS ASSOCIATION, ,302 STEELE ST, ,WHITEHORSE,WHITEHORSE,YT,Y1A2C5, ,867-668-4118,867-668-4118, , ,ADD789188, ,86410000,79990000,09710000,00000000,00000000,00000000,81341,71399,11421,00000,00000,86,I,-135.055483,60.720265,1,2, , , ,640.018,25,6,-135.05548299994,60.7202650003296
4,77C2A67A-BDC1-4517-AA57-42A380CA79C7,POI10006560,NAHANNI INN, ,PO BOX 248, ,FORT SIMPSON,FORT SIMPSON,NT,X0E0N0, ,867-695-2201,867-695-3000, , , , ,65120000,70110000,58120000,00000000,00000000,00000000,53112,72111,72211,00000,00000,65,H,-121.347627,61.861763,8,2, , , ,122,-1,12,-121.347626999586,61.8617629998626
5,452F05F2-77E3-47DF-9EBD-B285085EF096,POI10009510,MITIQ CO-OPERATIVE ASSN, ,GENERAL DELIVERY, ,SANIKILUAQ,SANIKILUAQ,NU,X0A0W0, ,867-266-8860,867-266-8844, ,http://inuit.pail.ca/mitiq-co-op.htm, , ,52510000,59450000,54110000,51990000,59990000,00000000,44413,45112,44511,42299,45392,52,G,-79.222418,56.540775,8,2, , , ,3,-1,12,-79.2224180003903,56.540775000366
6,0D66A15B-0B42-4A70-900C-A62A00760058,POI10013853,YELLOWKNIFE FIRE DEPARTMENT, , , ,YELLOW KNIFE,YELLOWKNIFE,NT,X1A2P4, , , , , , ,FRE,92240000,00000000,00000000,00000000,00000000,00000000,92212,00000,00000,00000,00000,92,J,-114.371073,62.454585,6,1, , , ,189.989,-1,12,-114.371073000319,62.4545850003975
7,D2D89608-9AF7-42C5-A569-99860F2E4397,POI10014671,YUKON VOLUNTEER FIRE DEPARTMENTS, , , ,WHITEHORSE,WHITEHORSE,YT,Y1A2C6, , , , , , ,FRE,92240000,00000000,00000000,00000000,00000000,00000000,92216,00000,00000,00000,00000,92,J,-135.090227,60.733183,6,1, , , ,689.026,-1,12,-135.090226999576,60.7331829997956
8,F3F476E5-992F-4092-8FA2-AED2021A1F0E,POI10014953,YUKON HUMAN RIGHTS COMMISSION,21,211 HAWKINS ST, ,WHITEHORSE,WHITEHORSE,YT,Y1A1X3, ,867-667-6226, , , ,ADD983226, ,81110000,00000000,00000000,00000000,00000000,00000000,514199,00000,00000,00000,00000,81,I,-135.051409,60.716136,1,2, , , ,640.014,25,6,-135.051409000025,60.7161359996767
9,52AFF022-8190-4348-971D-DC023565D291,POI10033985,KLONDIKE MOTORS LTD, ,9038 QUARTZ RD, ,WHITEHORSE,WHITEHORSE,YT,Y1A5L8, ,867-668-3399,867-668-3974,1-800-661-0427, ,ADD962909, ,51720000,55110000,75380000,00000000,00000000,00000000,44111,811111,441229,42112,325998,51,F,-135.076768,60.737605,1,2, , , ,653.465,25,6,-135.076768000343,60.7376049995711
10,F253CAA2-0D65-4008-A42D-42ACFDC76F23,POI10169798,BEAUTICONTROL INDEPENDENT CONSULTANT, , , ,YELLOWKNIFE,YELLOWKNIFE,NT, , ,867-446-1269, , ,http://www.beautipage.ca/amandapeet, , ,72310000,73340000,00000000,00000000,00000000,00000000,812112,561439,53121,44612,00000,72,I,-114.376469,62.454648,8,2, , , ,186.99,-1,12,-114.376469000044,62.4546479997055
